ecosystem,country,criterion_A1,criterion_A2b,criterion_A3,criterion_B1,criterion_B2,criterion_B3,criterion_C2a,criterion_C2b,criterion_D1,criterion_D2b,criterion_D3
Cool Temperate Forest,Canada,LC,VU,LC,LC,LC,LC,VU,DD,LC,NE,LC
Cool Temperate Forest,Mexico,NT,VU,NT,LC,LC,LC,DD,NE,LC,NE,LC
Cool Temperate Forest,United States,LC,LC,LC,LC,LC,LC,DD,NE,LC,NE,LC
Cool Temperate Forest,United States,LC,EN,LC,LC,LC,LC,DD,NE,LC,NE,LC
Cool Temperate Forest,United States,LC,EN,LC,LC,LC,LC,NT,NE,LC,NE,LC
Cool Temperate Forest,Canada,LC,VU,LC,LC,LC,LC,LC,DD,LC,NE,LC
Cool Temperate Forest,Canada,LC,EN,LC,LC,LC,LC,DD,DD,LC,NE,LC
Cool Temperate Forest,United States,LC,LC,LC,LC,LC,LC,DD,NE,LC,NE,LC
Cool Temperate Forest,United States,NT,LC,VU,LC,LC,LC,DD,NE,LC,NE,LC
Cool Temperate Forest,United States,VU,CR,VU,LC,EN,LC,DD,NE,LC,NE,LC
Temperate Flooded & Swamp Forest,Canada,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Temperate Flooded & Swamp Forest,United States,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Temperate Flooded & Swamp Forest,Canada,LC,LC,VU,LC,LC,LC,DD,DD,LC,NE,LC
Temperate Flooded & Swamp Forest,United States,LC,VU,EN,LC,LC,LC,DD,LC,LC,NE,VU
Temperate Flooded & Swamp Forest,United States,NT,NT,VU,LC,LC,LC,LC,LC,LC,NE,VU
Temperate Flooded & Swamp Forest,United States,LC,NT,LC,LC,LC,LC,DD,NT,LC,NE,EN
Temperate Flooded & Swamp Forest,United States,LC,LC,VU,LC,LC,LC,DD,LC,LC,NE,VU
Temperate Flooded & Swamp Forest,Canada,LC,VU,LC,LC,LC,LC,DD,DD,LC,NE,LC
Temperate Flooded & Swamp Forest,United States,LC,LC,LC,LC,LC,LC,DD,NT,LC,NE,LC
Temperate Flooded & Swamp Forest,Canada,LC,VU,LC,LC,LC,LC,DD,DD,LC,NE,LC
Temperate Flooded & Swamp Forest,United States,LC,VU,LC,LC,LC,LC,DD,DD,LC,NE,LC
Temperate Flooded & Swamp Forest,United States,VU,LC,EN,LC,LC,LC,DD,LC,LC,NE,LC
Temperate Flooded & Swamp Forest,Mexico,VU,LC,EN,LC,LC,LC,DD,LC,LC,NE,LC
Tropical Dry Forest & Woodland,Virgin Islands,LC,LC,VU,LC,LC,LC,DD,NE,DD,NE,LC
Tropical Dry Forest & Woodland,United States,EN,NT,CR,LC,LC,LC,DD,NE,LC,NE,LC
Tropical Dry Forest & Woodland,Turks and Caicas Islands,LC,EN,LC,CR,EN,LC,DD,NE,EN,NE,VU
Tropical Dry Forest & Woodland,Trinidad and Tobago,VU,LC,EN,LC,LC,LC,DD,NE,LC,DD,CR
Tropical Dry Forest & Woodland,Sint Maarten,DD,LC,DD,LC,NT,VU,DD,NE,DD,NE,DD
Tropical Dry Forest & Woodland,Saint Vincent and the Grenadines,LC,NT,VU,LC,LC,LC,DD,NE,DD,NE,LC
Tropical Dry Forest & Woodland,Saint Martin,DD,LC,DD,LC,LC,VU,DD,NE,DD,NE,DD
Tropical Dry Forest & Woodland,Saint Lucia,LC,LC,EN,LC,LC,LC,DD,NE,LC,NE,LC
Tropical Dry Forest & Woodland,Saint Kitts and Nevis,DD,LC,DD,LC,LC,LC,DD,NE,LC,NE,LC
Tropical Dry Forest & Woodland,Saint Barthélemy,DD,NT,DD,LC,NT,VU,DD,NE,DD,NE,DD
Tropical Dry Forest & Woodland,Puerto Rico,DD,LC,CR,LC,LC,LC,DD,NE,LC,NE,VU
Tropical Dry Forest & Woodland,Montserrat,CR,NT,CR,LC,NT,VU,DD,NE,DD,NE,DD
Tropical Dry Forest & Woodland,Martinique,LC,LC,NT,LC,LC,LC,DD,NE,LC,NE,LC
Tropical Dry Forest & Woodland,Jamaica,EN,EN,EN,EN,LC,LC,DD,NE,LC,NE,LC
Tropical Dry Forest & Woodland,Haiti,EN,LC,CR,LC,LC,LC,DD,NE,LC,NE,VU
Tropical Dry Forest & Woodland,Guadeloupe,LC,LC,LC,LC,LC,LC,DD,NE,LC,NE,LC
Tropical Dry Forest & Woodland,Grenada,LC,NT,VU,LC,LC,LC,DD,NE,LC,NE,LC
Tropical Dry Forest & Woodland,Dominican Republic,DD,LC,EN,LC,LC,LC,DD,NE,VU,NE,LC
Tropical Dry Forest & Woodland,Dominica,LC,VU,LC,CR,EN,LC,DD,NE,LC,NE,LC
Tropical Dry Forest & Woodland,Cuba,DD,LC,EN,LC,LC,LC,DD,NE,LC,NE,LC
Tropical Dry Forest & Woodland,Cayman Islands,DD,CR,DD,CR,CR,VU,DD,NE,DD,DD,DD
Tropical Dry Forest & Woodland,British Virgin Islands,DD,LC,DD,LC,LC,LC,DD,NE,DD,NE,DD
Tropical Dry Forest & Woodland,"Bonaire, Saint Eustatius and Saba",DD,LC,DD,LC,NT,VU,DD,NE,DD,DD,DD
Tropical Dry Forest & Woodland,Barbados,DD,LC,DD,LC,LC,LC,DD,DD,DD,NE,DD
Tropical Dry Forest & Woodland,Bahamas,LC,NT,LC,LC,LC,LC,DD,NE,LC,NE,LC
Tropical Dry Forest & Woodland,Antigua and Barbuda,LC,LC,VU,LC,LC,LC,DD,NE,VU,NE,EN
Tropical Dry Forest & Woodland,Anguilla,DD,LC,DD,LC,NT,VU,DD,NE,DD,NE,DD
Cool Temperate Forest,United States,EN,LC,CR,LC,LC,LC,DD,NE,LC,NE,LC
Cool Temperate Forest,Canada,EN,LC,CR,LC,LC,LC,DD,DD,LC,NE,LC
Temperate Flooded & Swamp Forest,United States,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Cool Temperate Forest,Canada,LC,VU,LC,LC,LC,LC,DD,DD,LC,NE,LC
Cool Temperate Forest,United States,LC,VU,LC,LC,LC,LC,DD,DD,LC,NE,EN
Temperate Flooded & Swamp Forest,United States,NT,NT,NT,LC,LC,LC,DD,NT,LC,NE,LC
Tropical Lowland Humid Forest,Sint Maarten,DD,NT,DD,LC,NT,VU,DD,DD,DD,NE,DD
Tropical Lowland Humid Forest,Saint Vincent and the Grenadines,LC,VU,LC,CR,EN,LC,DD,NE,DD,NE,LC
Tropical Lowland Humid Forest,Dominica,LC,VU,LC,CR,EN,LC,DD,NE,LC,NE,LC
Tropical Lowland Humid Forest,Grenada,LC,CR,EN,CR,EN,LC,DD,NE,DD,NE,LC
Tropical Lowland Humid Forest,Dominican Republic,DD,NT,EN,LC,LC,LC,DD,NE,LC,NE,LC
Tropical Lowland Humid Forest,"Bonaire, Saint Eustatius and Saba",DD,LC,DD,LC,NT,VU,DD,DD,DD,DD,DD
Tropical Lowland Humid Forest,Cuba,EN,LC,EN,LC,LC,LC,DD,NE,LC,NE,LC
Tropical Lowland Humid Forest,Saint Barthélemy,DD,LC,DD,LC,NT,VU,DD,NE,DD,NE,DD
Tropical Lowland Humid Forest,Turks and Caicas Islands,LC,NT,LC,LC,NT,VU,DD,NE,VU,DD,LC
Tropical Lowland Humid Forest,Trinidad and Tobago,LC,VU,LC,EN,LC,LC,DD,NE,LC,DD,EN
Tropical Lowland Humid Forest,Saint Kitts and Nevis,CR,LC,CR,LC,LC,LC,DD,NE,DD,NE,DD
Tropical Lowland Humid Forest,Virgin Islands,LC,NT,CR,LC,LC,LC,DD,NE,DD,NE,LC
Tropical Lowland Humid Forest,Saint Martin,DD,LC,DD,LC,NT,VU,DD,NE,DD,NE,DD
Tropical Lowland Humid Forest,British Virgin Islands,DD,LC,DD,LC,LC,VU,DD,NE,DD,NE,DD
Tropical Lowland Humid Forest,Cayman Islands,DD,NT,DD,LC,NT,VU,DD,DD,DD,DD,DD
Tropical Lowland Humid Forest,Saint Lucia,LC,LC,VU,LC,LC,LC,DD,NE,LC,NE,LC
Tropical Lowland Humid Forest,Puerto Rico,VU,LC,EN,LC,LC,LC,DD,NE,LC,NE,VU
