ecosystem,country,mean_severity_C2a,extent_C2a,mean_severity_C2b,extent_C2b,mean_severity_D1,extent_D1,mean_severity_D2b,extent_D2b,mean_severity_D3,extent_D3
Tropical Dry Forest & Woodland,Brazil,0.247,1,NA,NA,0.186,1,0.301,1,0.28,1
Tropical Dry Forest & Woodland,Paraguay,NA,NA,NA,NA,0.332,1,0.386,1,0.361,1
Tropical Dry Forest & Woodland,Bolivia,NA,NA,NA,NA,NA,NA,0.086,1,NA,NA
Tropical Dry Forest & Woodland,Brazil,NA,NA,NA,NA,0.302,1,0.555,1,0.499,1
Tropical Dry Forest & Woodland,Argentina,NA,NA,NA,NA,0.288,1,0.403,1,0.317,1
Tropical Dry Forest & Woodland,Brazil,0.128,1,NA,NA,0.206,1,0.456,1,0.497,1
Tropical Dry Forest & Woodland,Colombia,NA,NA,NA,NA,0.207,1,0.533,1,0.159,1
Tropical Dry Forest & Woodland,Ecuador,NA,NA,NA,NA,0.254,1,0.462,1,0.321,1
Tropical Dry Forest & Woodland,Venezuela,NA,NA,NA,NA,0.187,1,0.383,1,0.175,1
Tropical Dry Forest & Woodland,Peru,NA,NA,NA,NA,0.194,1,0.293,1,0.232,1
Tropical Dry Forest & Woodland,Ecuador,NA,NA,NA,NA,0.25,1,0.278,1,0,1
Tropical Dry Forest & Woodland,Argentina,NA,NA,NA,NA,NA,NA,0.058,1,NA,NA
Tropical Dry Forest & Woodland,Peru,NA,NA,NA,NA,0.303,1,0.351,1,0.322,1
Tropical Dry Forest & Woodland,Bolivia,NA,NA,NA,NA,0.075,1,0.214,1,0.044,1
Tropical Dry Forest & Woodland,Bolivia,NA,NA,NA,NA,0.063,1,0.331,1,0.107,1
Tropical Dry Forest & Woodland,Argentina,NA,NA,NA,NA,0.202,1,0.277,1,0.271,1
Tropical Lowland Humid Forest,Costa Rica,NA,NA,NA,NA,0.248,1,0.442,1,0.528,1
Tropical Lowland Humid Forest,Panama,NA,NA,NA,NA,0.188,1,0.358,1,0.258,1
Tropical Lowland Humid Forest,Nicaragua,NA,NA,NA,NA,0.292,1,0.364,1,0.406,1
Tropical Lowland Humid Forest,Colombia,NA,NA,NA,NA,0.249,1,0.028,1,0.288,1
Tropical Lowland Humid Forest,Guatemala,NA,NA,NA,NA,0.277,1,0.243,1,0.3,1
Tropical Lowland Humid Forest,El Salvador,NA,NA,NA,NA,0.059,1,0.79,1,0.089,1
Tropical Lowland Humid Forest,Belize,NA,NA,NA,NA,0.224,1,0.298,1,0.274,1
Tropical Lowland Humid Forest,Honduras,NA,NA,NA,NA,0.153,1,0.278,1,0.25,1
Tropical Lowland Humid Forest,Mexico,NA,NA,NA,NA,0.207,1,0.396,1,0.244,1
Tropical Lowland Humid Forest,Colombia,NA,NA,NA,NA,0.211,1,0.563,1,0.172,1
Tropical Lowland Humid Forest,Venezuela,NA,NA,NA,NA,0.19,1,0.345,1,0.103,1
Tropical Lowland Humid Forest,Venezuela,NA,NA,NA,NA,0.2,1,0.398,1,0.184,1
Tropical Lowland Humid Forest,Colombia,NA,NA,NA,NA,0.211,1,0.494,1,0.111,1
Tropical Lowland Humid Forest,Nicaragua,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Ecuador,0.172,1,NA,NA,0.283,1,0.143,1,0.353,1
Tropical Lowland Humid Forest,Venezuela,0.708,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Colombia,0.374,1,NA,NA,0.23,1,0.106,1,0.288,1
Tropical Lowland Humid Forest,Costa Rica,0.349,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Panama,0.369,1,NA,NA,0.248,1,0.015,1,0.338,1
Tropical Lowland Humid Forest,Peru,NA,NA,NA,NA,NA,NA,0.706,1,NA,NA
Tropical Lowland Humid Forest,Colombia,NA,NA,NA,NA,NA,NA,0.19,1,NA,NA
Tropical Lowland Humid Forest,Ecuador,NA,NA,NA,NA,0.238,1,0.293,1,0.242,1
Tropical Lowland Humid Forest,Colombia,NA,NA,NA,NA,0.216,1,0.392,1,0.164,1
Tropical Lowland Humid Forest,Venezuela,NA,NA,NA,NA,0.225,1,0.455,1,0.206,1
Tropical Lowland Humid Forest,Colombia,NA,NA,NA,NA,0.112,1,0.008,1,0.112,1
Tropical Lowland Humid Forest,Brazil,NA,NA,NA,NA,0.054,1,0.007,1,0.054,1
Tropical Lowland Humid Forest,Venezuela,NA,NA,NA,NA,0.008,1,0.008,1,0.012,1
Tropical Lowland Humid Forest,Guyana,NA,NA,NA,NA,0.025,1,0.188,1,0.043,1
Tropical Lowland Humid Forest,Venezuela,NA,NA,NA,NA,0.051,1,0.03,1,0.056,1
Tropical Lowland Humid Forest,Colombia,NA,NA,NA,NA,0,1,0,1,0,1
Tropical Lowland Humid Forest,Brazil,NA,NA,NA,NA,0.026,1,0.046,1,0.023,1
Tropical Lowland Humid Forest,Brazil,0.423,1,NA,NA,0.159,1,0.044,1,0.162,1
Tropical Lowland Humid Forest,Suriname,0.719,1,NA,NA,0.035,1,0.017,1,0.041,1
Tropical Lowland Humid Forest,Colombia,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,French Guiana,0.755,1,NA,NA,0.035,1,0.052,1,0.035,1
Tropical Lowland Humid Forest,Venezuela,0.744,1,NA,NA,0.222,1,0.095,1,0.225,1
Tropical Lowland Humid Forest,Guyana,0.714,1,NA,NA,0.004,1,0.069,1,0.019,1
Tropical Lowland Humid Forest,Guyana,NA,NA,NA,NA,0.011,1,0.108,1,0.049,1
Tropical Lowland Humid Forest,Colombia,NA,NA,NA,NA,NA,NA,0.328,1,NA,NA
Tropical Lowland Humid Forest,French Guiana,NA,NA,NA,NA,0.077,1,0.074,1,0.08,1
Tropical Lowland Humid Forest,Trinidad and Tobago,NA,NA,NA,NA,0.138,1,NA,NA,0.715,1
Tropical Lowland Humid Forest,Suriname,NA,NA,NA,NA,0.063,1,0.051,1,0.087,1
Tropical Lowland Humid Forest,Brazil,NA,NA,NA,NA,0.021,1,0.001,1,0.018,1
Tropical Lowland Humid Forest,Venezuela,NA,NA,NA,NA,0.239,1,0.269,1,0.291,1
Tropical Lowland Humid Forest,Peru,0.465,1,NA,NA,0.253,1,0.033,1,0.285,1
Tropical Lowland Humid Forest,Venezuela,0.421,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Ecuador,0.658,1,NA,NA,0.175,1,0.063,1,0.163,1
Tropical Lowland Humid Forest,Colombia,0.582,1,NA,NA,0.172,1,0.025,1,0.172,1
Tropical Lowland Humid Forest,Brazil,0.279,1,NA,NA,0.145,1,0.079,1,0.156,1
Tropical Lowland Humid Forest,Bolivia,0.302,1,NA,NA,0.095,1,0.487,1,0.119,1
Tropical Lowland Humid Forest,Ecuador,NA,NA,NA,NA,0.229,1,0.319,1,0.261,1
Tropical Lowland Humid Forest,Peru,NA,NA,NA,NA,0.286,1,0.06,1,0.309,1
Tropical Lowland Humid Forest,Colombia,NA,NA,NA,NA,0.207,1,0.169,1,0.224,1
Tropical Lowland Humid Forest,Peru,0.506,1,NA,NA,0.165,1,0.031,1,0.162,1
Tropical Lowland Humid Forest,Brazil,0.502,1,NA,NA,0.162,1,0.049,1,0.18,1
Tropical Lowland Humid Forest,Bolivia,0.51,1,NA,NA,0.029,1,0.194,1,0.019,1
Tropical Lowland Humid Forest,Ecuador,0.37,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Colombia,0.564,1,NA,NA,0.316,1,0.014,1,0.322,1
Tropical Lowland Humid Forest,Bolivia,0.588,1,NA,NA,0.051,1,0.137,1,0.034,1
Tropical Lowland Humid Forest,Colombia,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Peru,0.596,1,NA,NA,0.205,1,0.096,1,0.2,1
Tropical Lowland Humid Forest,Brazil,0.922,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Brazil,0.406,1,NA,NA,0.12,1,0.019,1,0.123,1
Tropical Lowland Humid Forest,Suriname,0.161,1,NA,NA,0.09,1,0.052,1,0.199,1
Tropical Lowland Humid Forest,Guyana,0.206,1,NA,NA,0,1,0.027,1,0.001,1
Tropical Lowland Humid Forest,Peru,0,1,NA,NA,0.318,1,0,1,0.334,1
Tropical Lowland Humid Forest,Venezuela,0.159,1,NA,NA,0.011,1,0,1,0.032,1
Tropical Lowland Humid Forest,French Guiana,0.066,1,NA,NA,0.071,1,0.01,1,0.074,1
Tropical Lowland Humid Forest,Colombia,0.186,1,NA,NA,0.151,1,0.024,1,0.146,1
Tropical Lowland Humid Forest,Bolivia,0.002,1,NA,NA,0.056,1,0.146,1,0.008,1
Tropical Lowland Humid Forest,Brazil,0.366,1,NA,NA,0.169,1,0.058,1,0.22,1
Tropical Lowland Humid Forest,Peru,0.108,1,NA,NA,0.249,1,0.002,1,0.263,1
Tropical Lowland Humid Forest,Ecuador,0.317,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Colombia,0.468,1,NA,NA,0.171,1,0.006,1,0.175,1
Tropical Lowland Humid Forest,Guyana,0.094,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Suriname,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Venezuela,0.129,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Paraguay,0.081,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Brazil,0.247,1,NA,NA,0.201,1,0.541,1,0.414,1
Tropical Lowland Humid Forest,Argentina,0.161,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Paraguay,NA,NA,NA,NA,0.304,1,0.328,1,0.303,1
Tropical Lowland Humid Forest,Argentina,NA,NA,NA,NA,0.365,1,0.424,1,0.551,1
Tropical Lowland Humid Forest,Brazil,NA,NA,NA,NA,0.258,1,0.582,1,0.471,1
Tropical Lowland Humid Forest,Argentina,0.356,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Paraguay,0.566,1,NA,NA,0.301,1,0.508,1,0.204,1
Tropical Lowland Humid Forest,Brazil,0.385,1,NA,NA,0.212,1,0.212,1,0.291,1
Tropical Lowland Humid Forest,Bolivia,0.399,1,NA,NA,0.02,1,0.095,1,0.008,1
Tropical Montane Humid Forest,Montserrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Montane Humid Forest,Dominica,NA,NA,NA,NA,0,1,NA,NA,0.122,1
Tropical Montane Humid Forest,Jamaica,NA,NA,NA,NA,0.003,1,NA,NA,0.249,1
Tropical Montane Humid Forest,Martinique,NA,NA,NA,NA,0,1,NA,NA,0,1
Tropical Montane Humid Forest,Puerto Rico,NA,NA,NA,NA,0.08,1,NA,NA,0.389,1
Tropical Montane Humid Forest,Cuba,NA,NA,NA,NA,0.243,1,NA,NA,0.254,1
Tropical Montane Humid Forest,Guadeloupe,NA,NA,NA,NA,0,1,NA,NA,0,1
Tropical Montane Humid Forest,Trinidad and Tobago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Montane Humid Forest,"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Montane Humid Forest,Dominican Republic,NA,NA,NA,NA,0.142,1,NA,NA,0.266,1
Tropical Montane Humid Forest,Grenada,NA,NA,NA,NA,NA,NA,NA,NA,0,1
Tropical Montane Humid Forest,Haiti,NA,NA,NA,NA,0,1,NA,NA,0.25,1
Tropical Montane Humid Forest,Saint Kitts and Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Montane Humid Forest,Saint Lucia,NA,NA,NA,NA,0,1,NA,NA,0,1
Tropical Montane Humid Forest,Saint Vincent and the Grenadines,NA,NA,NA,NA,NA,NA,NA,NA,0,1
Tropical Montane Humid Forest,Honduras,NA,NA,NA,NA,0.165,1,0.422,1,0.192,1
Tropical Montane Humid Forest,El Salvador,NA,NA,NA,NA,0.142,1,0.669,1,0.179,1
Tropical Montane Humid Forest,Mexico,NA,NA,NA,NA,0.17,1,0.396,1,0.226,1
Tropical Montane Humid Forest,Guatemala,NA,NA,NA,NA,0.229,1,0.645,1,0.252,1
Tropical Montane Humid Forest,Belize,NA,NA,NA,NA,0.341,1,0.003,1,0.371,1
Tropical Montane Humid Forest,Nicaragua,NA,NA,NA,NA,0.265,1,0.344,1,0.336,1
Tropical Montane Humid Forest,Honduras,NA,NA,NA,NA,0.177,1,0.581,1,0.25,1
Tropical Montane Humid Forest,Belize,NA,NA,NA,NA,0.299,1,0.029,1,0.407,1
Tropical Montane Humid Forest,El Salvador,NA,NA,NA,NA,0.099,1,0.801,1,0.215,1
Tropical Montane Humid Forest,Mexico,NA,NA,NA,NA,0.154,1,0.463,1,0.209,1
Tropical Montane Humid Forest,Guatemala,NA,NA,NA,NA,0.167,1,0.655,1,0.125,1
Tropical Montane Humid Forest,Nicaragua,NA,NA,NA,NA,0.24,1,0.699,1,0.273,1
Tropical Montane Humid Forest,Colombia,NA,NA,NA,NA,NA,NA,0,1,NA,NA
Tropical Montane Humid Forest,Costa Rica,NA,NA,NA,NA,0.279,1,0.293,1,0.376,1
Tropical Montane Humid Forest,Panama,NA,NA,NA,NA,0.21,1,0.124,1,0.294,1
Tropical Montane Humid Forest,Nicaragua,NA,NA,NA,NA,0.09,1,0.707,1,0.258,1
Tropical Montane Humid Forest,French Guiana,0.591,1,NA,NA,0.192,1,0,1,0.192,1
Tropical Montane Humid Forest,Colombia,0.78,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Montane Humid Forest,Peru,0.784,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Montane Humid Forest,Trinidad and Tobago,0.941,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Montane Humid Forest,Guyana,0.726,1,NA,NA,0.009,1,0.08,1,0.052,1
Tropical Montane Humid Forest,Brazil,0.698,1,NA,NA,0.03,1,0.035,1,0.025,1
Tropical Montane Humid Forest,Suriname,0.611,1,NA,NA,0.018,1,0.01,1,0.039,1
Tropical Montane Humid Forest,Venezuela,0.563,1,NA,NA,0.033,1,0.009,1,0.036,1
Tropical Montane Humid Forest,French Guiana,NA,NA,NA,NA,0.042,1,0.095,1,0.043,1
Tropical Montane Humid Forest,Suriname,NA,NA,NA,NA,0.012,1,0.016,1,0.011,1
Tropical Montane Humid Forest,Venezuela,NA,NA,NA,NA,0.042,1,0.05,1,0.039,1
Tropical Montane Humid Forest,Brazil,NA,NA,NA,NA,0.081,1,0.039,1,0.081,1
Tropical Montane Humid Forest,Guyana,NA,NA,NA,NA,0.004,1,0.065,1,0.024,1
Tropical Montane Humid Forest,Peru,0.432,1,NA,NA,0.186,1,0.205,1,0.265,1
Tropical Montane Humid Forest,Panama,0.923,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Montane Humid Forest,Colombia,0.43,1,NA,NA,0.211,1,0.413,1,0.293,1
Tropical Montane Humid Forest,Ecuador,0.352,1,NA,NA,0.213,1,0.311,1,0.266,1
Tropical Montane Humid Forest,Venezuela,0.539,1,NA,NA,0.184,1,0.257,1,0.238,1
Tropical Montane Humid Forest,Brazil,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Montane Humid Forest,Nicaragua,0.96,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Montane Humid Forest,Colombia,0.411,1,NA,NA,0.209,1,0.346,1,0.21,1
Tropical Montane Humid Forest,Peru,0.462,1,NA,NA,0.232,1,0.093,1,0.293,1
Tropical Montane Humid Forest,Venezuela,0.651,1,NA,NA,0.184,1,0.227,1,0.175,1
Tropical Montane Humid Forest,Panama,0.606,1,NA,NA,0.25,1,0,1,0.302,1
Tropical Montane Humid Forest,Brazil,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Montane Humid Forest,Honduras,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Montane Humid Forest,Costa Rica,0.269,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Montane Humid Forest,Ecuador,0.469,1,NA,NA,0.242,1,0.255,1,0.318,1
Tropical Montane Humid Forest,Venezuela,NA,NA,NA,NA,0.192,1,0.229,1,0.093,1
Tropical Montane Humid Forest,Peru,NA,NA,NA,NA,0.25,1,0.323,1,0.286,1
Tropical Montane Humid Forest,Chile,NA,NA,NA,NA,NA,NA,0.435,1,NA,NA
Tropical Montane Humid Forest,Ecuador,NA,NA,NA,NA,0.067,1,0,1,0,1
Tropical Montane Humid Forest,Bolivia,NA,NA,NA,NA,0.065,1,0.226,1,0.011,1
Tropical Montane Humid Forest,Argentina,NA,NA,NA,NA,0.225,1,0.128,1,0.425,1
Tropical Montane Humid Forest,Bolivia,NA,NA,NA,NA,0.074,1,0.165,1,0.03,1
Tropical Montane Humid Forest,Argentina,NA,NA,NA,NA,0.188,1,0,1,0.375,1
Tropical Montane Humid Forest,Peru,NA,NA,NA,NA,0.19,1,0.147,1,0.18,1
Tropical Montane Humid Forest,Peru,NA,NA,NA,NA,0.09,1,0.323,1,0.153,1
Tropical Montane Humid Forest,Argentina,NA,NA,NA,NA,0.22,1,0.278,1,0.279,1
Tropical Montane Humid Forest,Bolivia,NA,NA,NA,NA,0.1,1,0.289,1,0.118,1
Tropical Montane Humid Forest,Bolivia,NA,NA,NA,NA,0.072,1,0.163,1,0.089,1
Tropical Montane Humid Forest,Argentina,NA,NA,NA,NA,0.213,1,0.302,1,0.284,1
Tropical Montane Humid Forest,Peru,NA,NA,NA,NA,0.077,1,0.218,1,0.114,1
Tropical Montane Humid Forest,Argentina,NA,NA,NA,NA,0.234,1,0.24,1,0.364,1
Tropical Montane Humid Forest,Chile,NA,NA,NA,NA,0.029,1,0.303,1,0.176,1
Tropical Montane Humid Forest,Bolivia,NA,NA,NA,NA,0.05,1,0.406,1,0.017,1
Tropical Montane Humid Forest,Peru,NA,NA,NA,NA,0.038,1,0.476,1,0.178,1
Tropical Montane Humid Forest,Colombia,NA,NA,NA,NA,0.25,1,0.124,1,0.372,1
Tropical Montane Humid Forest,Ecuador,NA,NA,NA,NA,0.331,1,0.204,1,0.444,1
Tropical Montane Humid Forest,Peru,NA,NA,NA,NA,0.216,1,0.056,1,0.334,1
Tropical Montane Humid Forest,Paraguay,0.635,1,NA,NA,0.282,1,0.451,1,0.331,1
Tropical Montane Humid Forest,Brazil,0.515,1,NA,NA,0.297,1,0.524,1,0.461,1
Tropical Montane Humid Forest,Argentina,0.372,1,NA,NA,0.408,1,0.397,1,0.525,1
Tropical Flooded & Swamp Forest,Cuba,NA,NA,0.173,1,0.181,1,NA,NA,0.193,1
Tropical Flooded & Swamp Forest,Martinique,NA,NA,0.012,1,0,1,NA,NA,0,1
Tropical Flooded & Swamp Forest,Puerto Rico,NA,NA,0.283,1,0.115,1,NA,NA,0.327,1
Tropical Flooded & Swamp Forest,Dominican Republic,NA,NA,0.059,1,0.155,1,NA,NA,0.303,1
Tropical Flooded & Swamp Forest,Saint Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Flooded & Swamp Forest,Trinidad and Tobago,NA,NA,0.784,1,0.198,1,NA,NA,0.749,1
Tropical Flooded & Swamp Forest,Turks and Caicas Islands,NA,NA,0.116,1,0.494,1,NA,NA,0.494,1
Tropical Flooded & Swamp Forest,Saint Lucia,NA,NA,0.158,1,NA,NA,NA,NA,NA,NA
Tropical Flooded & Swamp Forest,Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Flooded & Swamp Forest,Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Flooded & Swamp Forest,British Virgin Islands,NA,NA,0.071,1,NA,NA,NA,NA,NA,NA
Tropical Flooded & Swamp Forest,Jamaica,NA,NA,0.552,1,0,1,NA,NA,0.24,1
Tropical Flooded & Swamp Forest,United States,NA,NA,0.466,1,0.314,1,NA,NA,0.399,1
Tropical Flooded & Swamp Forest,Guadeloupe,NA,NA,0.543,1,0,1,NA,NA,0,1
Tropical Flooded & Swamp Forest,Haiti,NA,NA,0.037,1,0,1,NA,NA,0.261,1
Tropical Flooded & Swamp Forest,Antigua and Barbuda,NA,NA,0,1,NA,NA,NA,NA,NA,NA
Tropical Flooded & Swamp Forest,Bahamas,NA,NA,0.032,1,0.157,1,NA,NA,0.216,1
Tropical Flooded & Swamp Forest,Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Flooded & Swamp Forest,Dominica,NA,NA,0,1,0,1,NA,NA,0.194,1
Tropical Flooded & Swamp Forest,Grenada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Flooded & Swamp Forest,Guadeloupe,NA,NA,0.462,1,0,1,NA,NA,0,1
Tropical Flooded & Swamp Forest,Guatemala,NA,NA,0.236,1,0.289,1,0.415,1,0.312,1
Tropical Flooded & Swamp Forest,Dominican Republic,NA,NA,0.127,1,0.181,1,NA,NA,0.32,1
Tropical Flooded & Swamp Forest,United States,NA,NA,0,1,0.25,1,NA,NA,0.5,1
Tropical Flooded & Swamp Forest,Virgin Islands,NA,NA,0.533,1,NA,NA,NA,NA,NA,NA
Tropical Flooded & Swamp Forest,Bahamas,NA,NA,0.104,1,0.131,1,NA,NA,0.192,1
Tropical Flooded & Swamp Forest,Antigua and Barbuda,NA,NA,0.259,1,0.25,1,NA,NA,0.5,1
Tropical Flooded & Swamp Forest,Belize,NA,NA,0.419,1,0.227,1,0.282,1,0.289,1
Tropical Flooded & Swamp Forest,Costa Rica,NA,NA,0.28,1,0.251,1,0.364,1,0.541,1
Tropical Flooded & Swamp Forest,Cuba,NA,NA,0.177,1,0.181,1,NA,NA,0.262,1
Tropical Flooded & Swamp Forest,Mexico,NA,NA,0.29,1,0.223,1,0.369,1,0.243,1
Tropical Flooded & Swamp Forest,Nicaragua,NA,NA,0.321,1,0.298,1,0.372,1,0.422,1
Tropical Flooded & Swamp Forest,Panama,NA,NA,NA,NA,0.242,1,0.205,1,0.298,1
Tropical Flooded & Swamp Forest,Puerto Rico,NA,NA,0.27,1,0.09,1,NA,NA,0.393,1
Tropical Flooded & Swamp Forest,Saint Lucia,NA,NA,0.064,1,NA,NA,NA,NA,0,1
Tropical Flooded & Swamp Forest,Saint Vincent and the Grenadines,NA,NA,0,1,NA,NA,NA,NA,0,1
Tropical Flooded & Swamp Forest,Turks and Caicas Islands,NA,NA,0.041,1,0.5,1,NA,NA,0.5,1
Tropical Flooded & Swamp Forest,Haiti,NA,NA,0.122,1,0,1,NA,NA,0.369,1
Tropical Flooded & Swamp Forest,Honduras,NA,NA,0.336,1,0.172,1,0.385,1,0.292,1
Tropical Flooded & Swamp Forest,Jamaica,NA,NA,0.296,1,0.047,1,NA,NA,0.229,1
Tropical Flooded & Swamp Forest,Trinidad and Tobago,NA,NA,0.475,1,0.117,1,NA,NA,0.734,1
Tropical Flooded & Swamp Forest,Martinique,NA,NA,0.046,1,0,1,NA,NA,0,1
Tropical Flooded & Swamp Forest,Jamaica,NA,NA,0.016,1,0,1,NA,NA,0.25,1
Tropical Flooded & Swamp Forest,Honduras,NA,NA,0.599,1,0.206,1,0.2,1,0.398,1
Tropical Flooded & Swamp Forest,Costa Rica,NA,NA,0.499,1,0.31,1,0.33,1,0.626,1
Tropical Flooded & Swamp Forest,Colombia,NA,NA,0.286,1,0.203,1,0.089,1,0.177,1
Tropical Flooded & Swamp Forest,Guatemala,NA,NA,0.38,1,0.237,1,0.58,1,0.183,1
Tropical Flooded & Swamp Forest,Belize,NA,NA,0.429,1,0.211,1,0.303,1,0.297,1
Tropical Flooded & Swamp Forest,Mexico,NA,NA,0.305,1,0.252,1,0.534,1,0.287,1
Tropical Flooded & Swamp Forest,El Salvador,NA,NA,0.318,1,NA,NA,0.841,1,0.25,1
Tropical Flooded & Swamp Forest,Ecuador,NA,NA,0,1,0.432,1,0.176,1,0.652,1
Tropical Flooded & Swamp Forest,Nicaragua,NA,NA,0.418,1,0.328,1,0.232,1,0.427,1
Tropical Flooded & Swamp Forest,Panama,NA,NA,NA,NA,0.271,1,0.358,1,0.442,1
Tropical Flooded & Swamp Forest,United States,NA,NA,0.535,1,NA,NA,NA,NA,NA,NA
Tropical Flooded & Swamp Forest,Trinidad and Tobago,NA,NA,0,1,0.082,1,NA,NA,0.75,1
Tropical Flooded & Swamp Forest,Guatemala,NA,NA,0.392,1,0.238,1,0.479,1,0.158,1
Tropical Flooded & Swamp Forest,Costa Rica,NA,NA,0.506,1,0.242,1,0.435,1,0.637,1
Tropical Flooded & Swamp Forest,Mexico,NA,NA,0.359,1,0.204,1,0.277,1,0.212,1
Tropical Flooded & Swamp Forest,El Salvador,NA,NA,0.228,1,0.049,1,0.742,1,0.115,1
Tropical Flooded & Swamp Forest,Panama,NA,NA,NA,NA,0.266,1,0.347,1,0.369,1
Tropical Flooded & Swamp Forest,Nicaragua,NA,NA,0.522,1,0.333,1,0.255,1,0.436,1
Tropical Flooded & Swamp Forest,Honduras,NA,NA,0.495,1,0.148,1,0.135,1,0.317,1
Tropical Flooded & Swamp Forest,Colombia,NA,NA,0.215,1,0.215,1,0.633,1,0.151,1
Tropical Flooded & Swamp Forest,Belize,NA,NA,0.483,1,0.223,1,0.258,1,0.334,1
Tropical Flooded & Swamp Forest,Guyana,NA,NA,NA,NA,0.011,1,0,1,0.111,1
Tropical Flooded & Swamp Forest,Venezuela,NA,NA,0.362,1,0.248,1,0.561,1,0.241,1
Tropical Flooded & Swamp Forest,Colombia,NA,NA,0.274,1,0.185,1,0.744,1,0.129,1
Tropical Flooded & Swamp Forest,Peru,NA,NA,NA,NA,NA,NA,0.99,1,NA,NA
Tropical Flooded & Swamp Forest,Ecuador,NA,NA,0.052,1,0.29,1,0.143,1,0.441,1
Tropical Flooded & Swamp Forest,Colombia,NA,NA,0.352,1,0.246,1,0.106,1,0.254,1
Tropical Flooded & Swamp Forest,Panama,NA,NA,0.941,1,0.251,1,0.045,1,0.307,1
Tropical Flooded & Swamp Forest,Colombia,NA,NA,0.428,1,0.138,1,0.212,1,0.159,1
Tropical Flooded & Swamp Forest,Venezuela,NA,NA,0.478,1,0.22,1,0.363,1,0.251,1
Tropical Flooded & Swamp Forest,Peru,NA,NA,0.53,1,NA,NA,0.561,1,NA,NA
Tropical Flooded & Swamp Forest,Ecuador,NA,NA,0.337,1,0.207,1,0.613,1,0.048,1
Tropical Flooded & Swamp Forest,Brazil,NA,NA,0.499,1,0.118,1,0.078,1,0.119,1
Tropical Flooded & Swamp Forest,Venezuela,NA,NA,0.137,1,0.033,1,0.004,1,0.048,1
Tropical Flooded & Swamp Forest,Suriname,NA,NA,0.281,1,0.069,1,0.016,1,0.105,1
Tropical Flooded & Swamp Forest,Guyana,NA,NA,0.432,1,0.002,1,0.074,1,0.01,1
Tropical Flooded & Swamp Forest,French Guiana,NA,NA,0.049,1,0.033,1,0.068,1,0.036,1
Tropical Flooded & Swamp Forest,Colombia,NA,NA,0.263,1,0.018,1,0.039,1,0.019,1
Tropical Flooded & Swamp Forest,Guyana,NA,NA,0.333,1,0.015,1,0.121,1,0.056,1
Tropical Flooded & Swamp Forest,Colombia,NA,NA,0.216,1,0.064,1,0.002,1,0.058,1
Tropical Flooded & Swamp Forest,French Guiana,NA,NA,0.064,1,0.067,1,0.028,1,0.069,1
Tropical Flooded & Swamp Forest,Brazil,NA,NA,0.27,1,0.173,1,0.284,1,0.165,1
Tropical Flooded & Swamp Forest,Suriname,NA,NA,0.188,1,0.07,1,0.198,1,0.179,1
