ecosystem,country,mean_severity_C2a,extent_C2a,mean_severity_C2b,extent_C2b,mean_severity_D1,extent_D1,mean_severity_D2b,extent_D2b,mean_severity_D3,extent_D3
Warm Temperate Forest,Mexico,NA,NA,NA,NA,0.118,1,NA,NA,0.129,1
Warm Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Warm Temperate Forest,United States,NA,NA,NA,NA,0.075,1,NA,NA,0.08,1
Cool Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,Canada,NA,NA,NA,NA,0,1,NA,NA,0,1
Cool Temperate Forest,United States,NA,NA,NA,NA,0.06,1,NA,NA,0.591,1
Cool Temperate Forest,Mexico,NA,NA,NA,NA,0.094,1,NA,NA,0.176,1
Cool Temperate Forest,United States,NA,NA,NA,NA,0.099,1,NA,NA,0.103,1
Cool Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,Canada,0.213,1,NA,NA,0.046,1,NA,NA,0.36,1
Cool Temperate Forest,United States,0.593,1,NA,NA,0.021,1,NA,NA,0.384,1
Cool Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Warm Temperate Forest,Mexico,0.834,1,NA,NA,NA,NA,NA,NA,NA,NA
Warm Temperate Forest,United States,0.839,1,NA,NA,NA,NA,NA,NA,0.25,1
Warm Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,Mexico,0.984,1,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,United States,0.282,1,NA,NA,0.056,1,NA,NA,0.526,1
Cool Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,United States,0.679,1,NA,NA,0.033,1,NA,NA,0.066,1
Cool Temperate Forest,Canada,0.497,1,NA,NA,0.064,1,NA,NA,0.063,1
Cool Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,Mexico,NA,NA,NA,NA,0.128,1,NA,NA,0.107,1
Cool Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,United States,NA,NA,NA,NA,0.097,1,NA,NA,0.149,1
Cool Temperate Forest,United States,NA,NA,NA,NA,0.157,1,NA,NA,0.237,1
Cool Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,United States,0.313,1,NA,NA,0.142,1,NA,NA,0.303,1
Cool Temperate Forest,Canada,0.225,1,NA,NA,0.152,1,NA,NA,0.182,1
Cool Temperate Forest,United States,NA,NA,NA,NA,0.089,1,NA,NA,0.118,1
Cool Temperate Forest,Canada,NA,NA,NA,NA,0.089,1,NA,NA,0.092,1
Cool Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,United States,NA,NA,NA,NA,0.075,1,NA,NA,0.153,1
Cool Temperate Forest,United States,NA,NA,NA,NA,0.151,1,NA,NA,0.255,1
Cool Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temperate Flooded & Swamp Forest,Canada,NA,NA,NA,NA,0.253,1,NA,NA,0.278,1
Temperate Flooded & Swamp Forest,United States,NA,NA,0.494,1,0.095,1,NA,NA,0.195,1
